No.,transition,lambda(invacuo),Ei(cm^-1),Ek(cm^-1),gi,gk,Aki(10^8s^-1),fik,S(a.u.),log(gf),
99,3D-7f,10052.17652351,97492.62738,107440.72169,6,6,0.80469E-03*,0.12183E-02,0.24178,-2.13608,
100,3D-4F,18756.23111526,97492.62738,102824.18890,6,8,0.13788*,0.96906,358.83,0.88944,
101,3D-5F,12821.65004513,97492.62738,105291.93556,6,8,0.45421E-01*,0.14918,37.761,0.07680,
102,3D-6F,10941.14257217,97492.62738,106632.44065,6,8,0.21460E-01*,0.51324E-01,11.086,-0.38659,
103,3D-7F,10052.17508969,97492.62738,107440.72310,6,8,0.12070E-01*,0.24367E-01,4.8356,-0.71011,
104,4S-5p,40522.24979943,102824.12045,105291.90051,2,2,0.73721E-02,0.18138,48.368,-0.44037,
105,4S-6p,26258.43612596,102824.12045,106632.42037,2,2,0.44563E-02,0.46040E-01,7.9556,-1.03584,
106,4S-7p,21661.01010014,102824.12045,107440.71033,2,2,0.28281E-02,0.19883E-01,2.8341,-1.40050,
107,4S-4P,2191527817.0712,102824.12045,102824.16609,2,4,0.34687E-15*,0.49924E-04,719.99,-3.69963,
108,4S-5P,40521.86617572,102824.12045,105291.92388,2,4,0.73716E-02*,0.36274,96.728,0.16165,
109,4S-6P,26258.34290482,102824.12045,106632.43389,2,4,0.44561E-02*,0.92075E-01,15.910,-0.43380,
110,4S-7P,21660.97015223,102824.12045,107440.71885,2,4,0.28280E-02*,0.39763E-01,5.6680,-0.79846,
111,4p-5S,40522.24979943,102824.12045,105291.90051,2,2,0.21503E-02,0.52906E-01,14.108,-0.97546,
112,4p-6S,26258.43612596,102824.12045,106632.42037,2,2,0.11942E-02,0.12337E-01,2.1319,-1.60775,
113,4p-7S,21661.01010014,102824.12045,107440.71033,2,2,0.72461E-03,0.50943E-02,0.72616,-1.99189,
114,4p-4d,2191527817.0712,102824.12045,102824.16609,2,4,0.27750E-15*,0.39940E-04,576.00,-3.79654,
115,4p-5d,40521.86617572,102824.12045,105291.92388,2,4,0.12381E-01*,0.60925,162.46,0.38686,
116,4p-6d,26258.34290482,102824.12045,106632.43389,2,4,0.71849E-02*,0.14846,25.653,-0.22633,
117,4p-7d,21660.97015223,102824.12045,107440.71885,2,4,0.44482E-02*,0.62545E-01,8.9154,-0.60174,
118,4P-5S,40522.99908633,102824.16609,105291.90051,4,2,0.43010E-02*,0.52913E-01,28.220,-0.97541,
119,4P-6S,26258.75075292,102824.16609,106632.42037,4,2,0.23885E-02*,0.12339E-01,4.2642,-1.60770,
120,4P-7S,21661.22419918,102824.16609,107440.71033,4,2,0.14493E-02*,0.50948E-02,1.4525,-1.99184,
121,4P-5d,40522.61544844,102824.16609,105291.92388,4,4,0.24763E-02*,0.60929E-01,32.495,-0.61312,
122,4P-6d,26258.65752954,102824.16609,106632.43389,4,4,0.14370E-02*,0.14846E-01,5.1309,-1.22632,
123,4P-7d,21661.18425047,102824.16609,107440.71885,4,4,0.88965E-03*,0.62547E-02,1.7831,-1.60174,
124,4P-4D,6574734196.2897,102824.16609,102824.18129,4,6,0.12332E-16*,0.11982E-04,1036.8,-4.14333,
125,4P-5D,40522.48757351,102824.16609,105291.93166,4,6,0.14858E-01*,0.54835,292.45,0.51721,
126,4P-6D,26258.62645587,102824.16609,106632.43839,4,6,0.86219E-02*,0.13362,46.178,-0.09599,
127,4P-7D,21661.17093454,102824.16609,107440.72169,4,6,0.53379E-02*,0.56292E-01,16.048,-0.47140,
128,4d-5p,40522.99908633,102824.16609,105291.90051,4,2,0.18849E-02*,0.23188E-01,12.367,-1.33370,
129,4d-6p,26258.75075292,102824.16609,106632.42037,4,2,0.94181E-03*,0.48652E-02,1.6814,-2.01187,
130,4d-7p,21661.22419918,102824.16609,107440.71033,4,2,0.53915E-03*,0.18952E-02,0.54031,-2.42131,
131,4d-5P,40522.61544844,102824.16609,105291.92388,4,4,0.18846E-03*,0.46370E-02,2.4730,-1.73170,
132,4d-6P,26258.65752954,102824.16609,106632.43389,4,4,0.94169E-04*,0.97291E-03,0.33624,-2.40987,
133,4d-7P,21661.18425047,102824.16609,107440.71885,4,4,0.53908E-04*,0.37900E-03,0.10805,-2.81930,
134,4d-4f,6574734196.2897,102824.16609,102824.18129,4,6,0.71939E-17*,0.69893E-05,604.80,-4.37742,
